case_id,customer_id,customer_name,amount,payment_status,failure_reason,retry_count,previous_success_rate,days_overdue,checkout_abandoned,expected_action
CASE_00001,CUST_00001,Sherry Lowery,75000,FAILED,TIMEOUT,2,0.4,0,False,ESCALATE_HUMAN
CASE_00002,CUST_00002,Melissa Lewis,100000,FAILED,CARD_DECLINED,0,0.67,0,False,ESCALATE_HUMAN
CASE_00003,CUST_00003,Dale Williams,499,FAILED,BANK_ERROR,1,0.6,0,False,RETRY_PAYMENT
CASE_00004,CUST_00004,Jessica Shaffer,100000,ABANDONED,NONE,1,0.56,10,True,ESCALATE_HUMAN
CASE_00005,CUST_00005,Michelle Hunt,499,FAILED,NETWORK_ERROR,2,0.42,5,False,SEND_PAYMENT_LINK
CASE_00006,CUST_00006,Tracy Hill,7999,FAILED,TIMEOUT,3,0.28,15,False,STOP
CASE_00007,CUST_00007,Matthew Kline,50000,FAILED,TIMEOUT,3,0.63,20,False,STOP
CASE_00008,CUST_00008,Sarah Ward,999,FAILED,CARD_DECLINED,2,0.66,0,False,SEND_PAYMENT_LINK
CASE_00009,CUST_00009,Adrian Lee,499,FAILED,INSUFFICIENT_FUNDS,0,0.88,0,False,SEND_PAYMENT_LINK
CASE_00010,CUST_00010,Austin Olsen,9999,FAILED,NETWORK_ERROR,2,0.33,15,False,SEND_PAYMENT_LINK
CASE_00011,CUST_00011,Kayla Chandler,2499,FAILED,TIMEOUT,1,0.63,5,False,RETRY_PAYMENT
CASE_00012,CUST_00012,Zachary Carr,9999,FAILED,CARD_DECLINED,1,0.75,0,False,SEND_PAYMENT_LINK
CASE_00013,CUST_00013,Jonathan Carlson,2499,FAILED,INSUFFICIENT_FUNDS,3,0.41,5,False,STOP
CASE_00014,CUST_00014,Tammy Baird MD,50000,FAILED,BANK_ERROR,3,0.52,30,False,STOP
CASE_00015,CUST_00015,Alex Campbell,1499,FAILED,BANK_ERROR,1,0.8,45,False,ESCALATE_HUMAN
CASE_00016,CUST_00016,Meghan Nicholson,4999,ABANDONED,NONE,3,0.49,0,True,STOP
CASE_00017,CUST_00017,Eric Guzman,25000,ABANDONED,NONE,0,0.8,0,True,SEND_PAYMENT_LINK
CASE_00018,CUST_00018,Karen Washington,1499,FAILED,NETWORK_ERROR,0,0.51,30,False,ESCALATE_HUMAN
CASE_00019,CUST_00019,Melissa Wilson,25000,FAILED,CARD_DECLINED,0,0.74,0,False,SEND_PAYMENT_LINK
CASE_00020,CUST_00020,Danielle Williams,75000,FAILED,INSUFFICIENT_FUNDS,0,0.43,0,False,ESCALATE_HUMAN
CASE_00021,CUST_00021,William Mitchell,15000,FAILED,INSUFFICIENT_FUNDS,1,0.61,0,False,SEND_PAYMENT_LINK
CASE_00022,CUST_00022,Melissa Johnson,75000,FAILED,CARD_DECLINED,1,0.32,0,False,ESCALATE_HUMAN
